user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
M1_25.109.filtered	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__WVXP01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011773445.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__WVXP01;g__WVXP01;s__WVXP01 sp011773445	77.46	0.076	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__WVXP01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	20.41	11	0.75815	N/A
M1_25.110.filtered	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__B140-G9;s__	N/A	N/A	N/A	N/A	N/A	GCA_003644295.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__B140-G9;s__B140-G9 sp003644295	76.41	0.138	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__B140-G9;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	72.34	11	0.90794	N/A
M1_25.111.filtered	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__JAFGQJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016935715.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__JAFGQJ01;s__JAFGQJ01 sp016935715	78.82	0.301	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__JAFGQJ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	71.78	11	0.9203	N/A
M1_25.112.filtered	d__Bacteria;p__4484-113;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__4484-113;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in backbone tree	N/A	45.15	11	0.34438	Genome has more than 10.8% of markers with multiple hits
M1_25.113.filtered	d__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	16.98	11	0.41692	classification restricted to valid phylum
M1_25.115.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5627;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011170385.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5627;g__W693;s__W693 sp011170385	77.35	0.204	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5627;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	18.39	11	0.83422	N/A
M1_25.116.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.117.filtered	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.23	11	0.71983	N/A
M1_25.118.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__B4-G1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__B4-G1;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.82	11	0.84381	Genome has more than 25.0% of markers with multiple hits
M1_25.119.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__B4-G1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__B4-G1;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	39.42	11	0.88205	Genome has more than 12.5% of markers with multiple hits
M1_25.12.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__JACQGQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016199495.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__JACQGQ01;s__JACQGQ01 sp016199495	77.16	0.13	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__JACQGQ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	61.16	11	0.86098	N/A
M1_25.120.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.6%)
M1_25.121.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.122.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.7%)
M1_25.123.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__UBA5760;s__UBA5760 sp011176655	GCA_011176655.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__UBA5760;s__UBA5760 sp011176655	95.22	0.75	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
M1_25.124.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	45.0	11	0.60165	N/A
M1_25.125.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.9%)
M1_25.126.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.1%)
M1_25.127.filtered	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIV01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIV01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_004377005.1, s__SOIV01 sp004377005, 95.0, 94.32, 0.793; GCA_011049545.1, s__SOIV01 sp011049545, 95.0, 92.18, 0.586; GCA_011773465.1, s__SOIV01 sp011773465, 95.0, 87.1, 0.608; GCA_011772475.1, s__SOIV01 sp011772475, 95.0, 85.36, 0.589; GCA_016783445.1, s__SOIV01 sp016783445, 95.0, 78.2, 0.354	57.07	11	0.96643	Genome has more than 33.3% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.13.filtered	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__WVWN01;f__WVWN01;g__WVWN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011773985.1	95.0	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__WVWN01;f__WVWN01;g__WVWN01;s__WVWN01 sp011773985	78.35	0.46	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__WVWN01;f__WVWN01;g__WVWN01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	17.04	11	0.88628	N/A
M1_25.130.filtered	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__	N/A	N/A	N/A	N/A	N/A	GCA_004378665.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__SOIA01 sp004378665	80.07	0.672	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIA01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	91.62	11	0.91986	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.131.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__SLSP01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__SLSP01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	62.09	11	0.88432	N/A
M1_25.132.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.0%)
M1_25.133.filtered	d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__SM23-42;g__DG-78;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303225.1	95.0	d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__SM23-42;g__DG-78;s__DG-78 sp001303225	90.35	0.78	d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__SM23-42;g__DG-78;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	28.95	11	0.896	Genome has more than 58.3% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.134.filtered	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	48.57	11	0.78052	N/A
M1_25.135.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.4%)
M1_25.136.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__CG2-30-46-19;s__	N/A	N/A	N/A	N/A	N/A	GCA_001872925.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__CG2-30-46-19;s__CG2-30-46-19 sp001872925	84.85	0.751	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__CG2-30-46-19;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	28.71	11	0.9375	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 60.0% of markers with multiple hits
M1_25.137.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__UBA9300;s__	N/A	N/A	N/A	N/A	N/A	GCA_016928075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__UBA9300;s__UBA9300 sp016928075	81.98	0.714	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__UBA9300;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003518245.1, s__UBA9300 sp003518245, 95.0, 78.94, 0.452; GCA_011050615.1, s__UBA9300 sp011050615, 95.0, 78.71, 0.494	95.71	11	0.9627	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.138.filtered	d__Bacteria;p__Actinobacteriota;c__Humimicrobiia;o__Humimicrobiales;f__Humimicrobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Humimicrobiia;o__Humimicrobiales;f__Humimicrobiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	39.24	11	0.88947	N/A
M1_25.139.filtered	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	15.85	11	0.64805	N/A
M1_25.14.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.140.filtered	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SM23-30;g__JAFGFX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016930855.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SM23-30;g__JAFGFX01;s__JAFGFX01 sp016930855	76.78	0.109	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SM23-30;g__JAFGFX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	63.44	11	0.86978	N/A
M1_25.141.filtered	d__Bacteria;p__Myxococcota;c__B64-G9;o__B64-G9;f__B64-G9;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003647095.1	95.0	d__Bacteria;p__Myxococcota;c__B64-G9;o__B64-G9;f__B64-G9;g__B64-G9;s__B64-G9 sp003647095	76.69	0.155	d__Bacteria;p__Myxococcota;c__B64-G9;o__B64-G9;f__B64-G9;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	14.4	11	0.7856	N/A
M1_25.143.filtered	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__4484-190-2;s__	N/A	N/A	N/A	N/A	N/A	GCA_002050025.1	95.0	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__4484-190-2;s__4484-190-2 sp002050025	91.24	0.74	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__4484-190-2;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	67.81	11	0.96368	Genome has more than 25.8% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.144.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__JADFUZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_015222295.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__JADFUZ01;s__JADFUZ01 sp015222295	77.99	0.249	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__JADFUZ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	63.58	11	0.86501	N/A
M1_25.145.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.4%)
M1_25.146.filtered	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	51.91	11	0.73101	N/A
M1_25.147.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SZUA-161;f__SZUA-161;g__SZUA-161;s__	N/A	N/A	N/A	N/A	N/A	GCA_003229915.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SZUA-161;f__SZUA-161;g__SZUA-161;s__SZUA-161 sp003229915	78.68	0.447	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SZUA-161;f__SZUA-161;g__SZUA-161;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_004376205.1, s__SZUA-161 sp004376205, 95.0, 80.15, 0.498	76.93	11	0.91884	N/A
M1_25.148.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__SOJS01;g__SOJS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_004376435.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__SOJS01;g__SOJS01;s__SOJS01 sp004376435	77.18	0.315	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__SOJS01;g__SOJS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	45.14	11	0.8654	Genome has more than 22.5% of markers with multiple hits
M1_25.15.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
M1_25.150.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.8%)
M1_25.151.filtered	d__Bacteria;p__Calditrichota;c__Calditrichia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Calditrichota;c__Calditrichia;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	22.06	11	0.54392	Genome has more than 19.2% of markers with multiple hits
M1_25.152.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAYZQ01;f__JAAYZQ01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAYZQ01;f__JAAYZQ01;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	72.99	11	0.80007	N/A
M1_25.154.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303955.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__SM23-62 sp001303955	84.21	0.719	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_011053095.1, s__SM23-62 sp011053095, 95.0, 77.52, 0.181	43.35	11	0.95158	Genome has more than 53.3% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.155.filtered	d__Bacteria;p__Planctomycetota;c__DG-23;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__DG-23;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	71.45	11	0.45649	N/A
M1_25.156.filtered	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011773445.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__WVXP01;g__WVXP01;s__WVXP01 sp011773445	81.37	0.059	d__Bacteria;p__Desulfobacterota;c__BSN033;o__WVXP01;f__;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	70.15	11	0.55417	Genome has more than 20.8% of markers with multiple hits
M1_25.157.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__G519;s__	N/A	N/A	N/A	N/A	N/A	GCA_011176615.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__G519;s__G519 sp011176615	75.42	0.013	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__G519;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	56.0	11	0.86198	N/A
M1_25.159.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.2%)
M1_25.16.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.0%)
M1_25.160.filtered	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__FEN-1346;f__FEN-1346;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016782785.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__FEN-1346;f__FEN-1346;g__BS750m-G62;s__BS750m-G62 sp016782785	78.68	0.394	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__FEN-1346;f__FEN-1346;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	64.79	11	0.83889	N/A
M1_25.161.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__JAFGOZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016926235.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__JAFGOZ01;s__JAFGOZ01 sp016926235	75.73	0.083	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__JAFGOZ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	61.81	11	0.88952	N/A
